dataset,subset,algorithm,param,subset_size,silhouette_native,silhouette_common,ARI,AMI,CH,DB,clustering_runtime
AIJobs,small,k_prototypes,2,2000,0.49650585651397705,0.09160986591849181,-0.012505012769485615,0.0046416766227245915,107.47802764705547,3.0521119206248186,0.4169745445251465
AIJobs,small,agg_gower,2,2000,0.4213863015174866,0.471166511060905,0.0010770203275848526,-0.0005207963273877375,118.88117401048567,1.3165887758440924,0.05269765853881836
AIJobs,small,k_medoids,2,2000,0.15761148929595947,0.05626634325563295,0.036214004532634826,0.024862478419779795,56.04494041586187,5.202538145146599,0.06503009796142578
AIJobs,small,famd_kmeans,2,2000,0.3336514476251467,0.3336514476251467,0.01618388627107137,0.00857963551097456,169.02445052621738,0.7271262842597095,0.061661481857299805
AIJobs,small,k_prototypes,3,2000,0.4757058620452881,0.07579075600136818,-0.012397797834076739,0.004273476593949064,125.58665390362269,2.118597046623593,0.5986387729644775
AIJobs,small,agg_gower,3,2000,0.3590836822986603,0.4441528904108183,0.001092617518537256,-0.00029190129581855906,60.68362865707644,1.7649516862524715,0.04856252670288086
AIJobs,small,k_medoids,3,2000,0.20741204917430878,0.055341624070233006,-0.003018936273729228,0.027737306506051416,64.21183943632332,4.295883192978324,0.02992534637451172
AIJobs,small,famd_kmeans,3,2000,0.15707561638984333,0.15707561638984333,-0.002730547304042194,0.010075075721495692,172.88687097043558,2.187850555606545,0.006075382232666016
AIJobs,small,k_prototypes,4,2000,,,,,,,0.0
AIJobs,small,agg_gower,4,2000,0.45195478200912476,0.07714271912572584,-0.008314003402431802,0.0016109731948319823,74.07717297514952,2.4831449222247555,0.04999232292175293
AIJobs,small,k_medoids,4,2000,0.23964795470237732,0.05076977606016804,0.001879026246890405,0.016766915172180166,64.38349901361715,4.238435354283607,0.02867412567138672
AIJobs,small,famd_kmeans,4,2000,0.20242819844824664,0.20242819844824664,-0.0008641882658507418,0.011483531464412274,203.17712726633715,1.6975679919845632,0.0051839351654052734
AIJobs,small,k_prototypes,5,2000,,,,,,,0.0
AIJobs,small,agg_gower,5,2000,0.3709319531917572,0.07439759816312877,-0.02097450210283781,0.0037960934519066245,88.10438795650401,2.387026332307581,0.04834413528442383
AIJobs,small,k_medoids,5,2000,0.31006523966789246,0.04681216597446926,0.01043114219162955,0.015312278582919298,68.53389791524918,3.4861725347312325,0.022503376007080078
AIJobs,small,famd_kmeans,5,2000,0.23059533181406408,0.23059533181406408,-0.004102828113064698,0.012643997466119076,225.8133765268496,1.4594423268929821,0.005499839782714844
AIJobs,small,k_prototypes,6,2000,,,,,,,0.0
AIJobs,small,agg_gower,6,2000,0.3699091076850891,0.07513136015572318,-0.02089776215560162,0.005547357352161048,73.98955674859198,2.3456474359981065,0.048647165298461914
AIJobs,small,k_medoids,6,2000,0.3521384298801422,0.07224561989018562,0.006490853684880375,0.017322028811689216,77.32211350752519,2.799299085149587,0.01519012451171875
AIJobs,small,famd_kmeans,6,2000,0.30188345566493546,0.30188345566493546,-0.006028299832063222,0.011541531398275386,253.53456153700796,1.460871638070886,0.006524562835693359
AIJobs,small,k_prototypes,7,2000,,,,,,,0.0
AIJobs,small,agg_gower,7,2000,0.36619433760643005,0.07519370668174388,-0.020908148421933507,0.00529670291570688,62.21630210881626,2.143228465485579,0.0489349365234375
AIJobs,small,k_medoids,7,2000,0.4380590319633484,0.09690174655697457,0.001841468008134995,0.01652652655017155,89.90981721982723,2.341985302611999,0.023360013961791992
AIJobs,small,famd_kmeans,7,2000,0.3411947922279568,0.3411947922279568,-0.005234117401254716,0.012945128822936455,289.9868567602129,1.2752507452382627,0.006007671356201172
AIJobs,small,k_prototypes,8,2000,,,,,,,0.0
AIJobs,small,agg_gower,8,2000,0.35479745268821716,0.07596363202583274,-0.020936735984531774,0.004940241500875228,54.328585373352034,2.309715378296355,0.04862546920776367
AIJobs,small,k_medoids,8,2000,0.4497123956680298,0.09582716341179204,0.014503408711003172,0.032781965661519794,78.76917711170911,2.8536682054227427,0.02375960350036621
AIJobs,small,famd_kmeans,8,2000,0.4730530782436542,0.4730530782436542,0.010969815485331465,0.03549438954572939,344.30499693366886,1.0383209211174353,0.006559133529663086
AIJobs,small,k_prototypes,9,2000,,,,,,,0.0
AIJobs,small,agg_gower,9,2000,0.29611361026763916,0.08998540892136987,-0.021534871800192062,0.006317851222182203,63.15470388434912,2.148499313723383,0.047867774963378906
AIJobs,small,k_medoids,9,2000,0.5256974101066589,0.12324559756117137,0.009466986312789425,0.02817453624280928,91.01034452562462,2.504738604506553,0.020116329193115234
AIJobs,small,famd_kmeans,9,2000,0.5397742348736703,0.5397742348736703,0.005940906906389898,0.03403814386177091,414.07091897525333,0.9144384726558097,0.005634307861328125
AIJobs,small,k_prototypes,10,2000,,,,,,,0.0
AIJobs,small,agg_gower,10,2000,0.36565205454826355,0.11029735022680498,-0.019553337000873874,0.010600832308308057,71.30265372320824,2.2058233745430824,0.048262596130371094
AIJobs,small,k_medoids,10,2000,0.544914960861206,0.12442840146925681,0.006415693794591836,0.028431099210788055,83.70239121398549,2.4832628023804673,0.01838994026184082
AIJobs,small,famd_kmeans,10,2000,0.5728293252482617,0.5728293252482617,0.008620277172493838,0.0340451339251495,520.7355119932266,0.7720323410139005,0.005352497100830078
AIJobs,small,hdbscan_gower,20,2000,0.9027585387229919,0.21876576800436398,0.00277886026161703,0.0329755842179599,182.21690129940606,1.60186491260382,0.11810088157653809
AIJobs,small,hdbscan_famd,20,2000,0.6685827087351591,0.6685827087351591,0.003343503156104043,0.03244446338862347,1258.1012519343178,0.4826091653082439,0.04248785972595215
AIJobs,small,hdbscan_gower,50,2000,0.8685067892074585,0.23969661875606996,0.005350770778063726,0.03353722579637832,192.1057255332933,1.4858126991524365,0.10431718826293945
AIJobs,small,hdbscan_famd,50,2000,0.6584028764075512,0.6584028764075512,0.008356697338711817,0.036731090540034206,1331.8212236913391,0.4524530158922173,0.04910778999328613
AIJobs,small,hdbscan_gower,100,2000,0.8995491862297058,0.25422484357146935,0.005939998912724099,0.03223785000230246,220.2802665577446,1.3784491035599233,0.10814023017883301
AIJobs,small,hdbscan_famd,100,2000,0.6125685887797929,0.6125685887797929,0.004782947102211938,0.02879771921252636,1230.9457588590842,0.5548102788197313,0.06252050399780273
AIJobs,small,hdbscan_gower,200,2000,,,,,,,0.10583877563476562
AIJobs,small,hdbscan_famd,200,2000,0.6020142958359191,0.6020142958359191,-0.017536960696416467,0.006011580961049031,1108.3325383647198,0.6918194830380728,0.09250378608703613
AIJobs,medium,k_prototypes,2,5000,0.4997493028640747,0.0935179833409305,-0.01887438627244316,0.004353006152207944,253.64307754032342,3.1120769887841018,0.9962425231933594
AIJobs,medium,agg_gower,2,5000,0.422730952501297,0.4837242640022565,0.0033422255657200874,0.0013151092650045403,314.7808372773687,1.4895001271598942,0.3320338726043701
AIJobs,medium,k_medoids,2,5000,0.4996011257171631,0.0903845082499304,-0.01886714406920258,0.004369209302030254,252.85017310307853,3.104280065955258,0.3512694835662842
AIJobs,medium,famd_kmeans,2,5000,0.2620743982593732,0.2620743982593732,0.0066585118714028715,0.014810861525198865,418.1866784100773,0.9624352978401688,0.008243799209594727
AIJobs,medium,k_prototypes,3,5000,0.4902733862400055,0.07601059276530846,-0.01859556178003833,0.004710052810246899,312.66818677136877,2.176063260160434,2.5127856731414795
AIJobs,medium,agg_gower,3,5000,0.38273343443870544,0.4589245307201334,0.0033810616208882673,0.002906897063656377,240.52901329437427,1.0739959999087119,0.33942604064941406
AIJobs,medium,k_medoids,3,5000,0.2595106363296509,0.05978276534801897,-0.013584039672945398,0.022668601771009482,180.69397175185154,4.179378195096107,0.3837578296661377
